[Hz],FFT[dBm]
1.5808105E+05,-9.70054E+01
1.5838623E+05,-9.67854E+01
1.5869141E+05,-9.70854E+01
1.5899658E+05,-9.30654E+01
1.5930176E+05,-9.52454E+01
1.5960693E+05,-1.03505E+02
1.5991211E+05,-1.14805E+02
1.6021729E+05,-1.05145E+02
1.6052246E+05,-1.04765E+02
1.6082764E+05,-1.04785E+02
1.6113281E+05,-1.13165E+02
1.6143799E+05,-1.01545E+02
1.6174316E+05,-1.12965E+02
1.6204834E+05,-9.61054E+01
1.6235352E+05,-9.30654E+01
1.6265869E+05,-1.02145E+02
1.6296387E+05,-1.06165E+02
1.6326904E+05,-1.00525E+02
1.6357422E+05,-1.14885E+02
1.6387939E+05,-1.03405E+02
1.6418457E+05,-1.09045E+02
1.6448975E+05,-1.00045E+02
1.6479492E+05,-9.86454E+01
1.6510010E+05,-1.01565E+02
1.6540527E+05,-1.22585E+02
1.6571045E+05,-9.95854E+01
1.6601562E+05,-1.02245E+02
1.6632080E+05,-1.02065E+02
1.6662598E+05,-9.64454E+01
1.6693115E+05,-9.70654E+01
1.6723633E+05,-9.84454E+01
1.6754150E+05,-9.72654E+01
1.6784668E+05,-1.01645E+02
1.6815186E+05,-9.62854E+01
1.6845703E+05,-9.83054E+01
1.6876221E+05,-1.02485E+02
1.6906738E+05,-9.84254E+01
1.6937256E+05,-9.75054E+01
1.6967773E+05,-1.00025E+02
1.6998291E+05,-1.02145E+02
1.7028809E+05,-1.03925E+02
1.7059326E+05,-9.58454E+01
1.7089844E+05,-9.43854E+01
1.7120361E+05,-1.02865E+02
1.7150879E+05,-1.00625E+02
1.7181396E+05,-1.00645E+02
1.7211914E+05,-9.99054E+01
1.7242432E+05,-1.00605E+02
1.7272949E+05,-1.05405E+02
1.7303467E+05,-1.03965E+02
1.7333984E+05,-1.02925E+02
1.7364502E+05,-1.01025E+02
1.7395020E+05,-9.85854E+01
1.7425537E+05,-9.47054E+01
1.7456055E+05,-8.67454E+01
1.7486572E+05,-9.05454E+01
1.7517090E+05,-8.69654E+01
1.7547607E+05,-8.81854E+01
1.7578125E+05,-9.37654E+01
1.7608643E+05,-1.01545E+02
1.7639160E+05,-1.04425E+02
1.7669678E+05,-1.01425E+02
1.7700195E+05,-1.10305E+02
1.7730713E+05,-1.05985E+02
1.7761230E+05,-1.10825E+02
1.7791748E+05,-1.00365E+02
1.7822266E+05,-9.80654E+01
1.7852783E+05,-9.70654E+01
1.7883301E+05,-1.09945E+02
1.7913818E+05,-9.71254E+01
1.7944336E+05,-9.62054E+01
1.7974854E+05,-9.59054E+01
1.8005371E+05,-9.60654E+01
1.8035889E+05,-9.64854E+01
1.8066406E+05,-1.02485E+02
1.8096924E+05,-1.10025E+02
1.8127441E+05,-1.00225E+02
1.8157959E+05,-1.03085E+02
1.8188477E+05,-9.43054E+01
1.8218994E+05,-9.95054E+01
1.8249512E+05,-1.09125E+02
1.8280029E+05,-9.73654E+01
1.8310547E+05,-9.91654E+01
1.8341064E+05,-1.03025E+02
1.8371582E+05,-9.78454E+01
1.8402100E+05,-1.01345E+02
1.8432617E+05,-9.73054E+01
1.8463135E+05,-1.00285E+02
1.8493652E+05,-9.31654E+01
1.8524170E+05,-9.22054E+01
1.8554688E+05,-8.85054E+01
1.8585205E+05,-8.56054E+01
1.8615723E+05,-8.22854E+01
1.8646240E+05,-8.26254E+01
1.8676758E+05,-8.43854E+01
1.8707275E+05,-8.68454E+01
1.8737793E+05,-9.03454E+01
1.8768311E+05,-8.91254E+01
1.8798828E+05,-8.94254E+01
1.8829346E+05,-9.01254E+01
1.8859863E+05,-9.35054E+01
1.8890381E+05,-9.93654E+01
1.8920898E+05,-1.20185E+02
1.8951416E+05,-9.29654E+01
1.8981934E+05,-9.21454E+01
1.9012451E+05,-9.46654E+01
1.9042969E+05,-9.97254E+01
1.9073486E+05,-1.02305E+02
1.9104004E+05,-1.05385E+02
1.9134521E+05,-1.07025E+02
1.9165039E+05,-1.06645E+02
