[s],CH1[V]
-1.2412E-04,2.36264E-02
-1.2410E-04,2.06264E-02
-1.2408E-04,1.66264E-02
-1.2406E-04,1.32264E-02
-1.2404E-04,9.42637E-03
-1.2402E-04,5.82637E-03
-1.2400E-04,1.82637E-03
-1.2398E-04,-2.17363E-03
-1.2396E-04,-6.37363E-03
-1.2394E-04,-1.01736E-02
-1.2392E-04,-1.33736E-02
-1.2390E-04,-1.73736E-02
-1.2388E-04,-2.05736E-02
-1.2386E-04,-2.41736E-02
-1.2384E-04,-2.77736E-02
-1.2382E-04,-3.09736E-02
-1.2380E-04,-3.41736E-02
-1.2378E-04,-3.71736E-02
-1.2376E-04,-3.91736E-02
-1.2374E-04,-4.19736E-02
-1.2372E-04,-4.35736E-02
-1.2370E-04,-4.55736E-02
-1.2368E-04,-4.71736E-02
-1.2366E-04,-4.85736E-02
-1.2364E-04,-4.99736E-02
-1.2362E-04,-5.01736E-02
-1.2360E-04,-5.03736E-02
-1.2358E-04,-5.01736E-02
-1.2356E-04,-4.99736E-02
-1.2354E-04,-4.93736E-02
-1.2352E-04,-4.89736E-02
-1.2350E-04,-4.75736E-02
-1.2348E-04,-4.61736E-02
-1.2346E-04,-4.41736E-02
-1.2344E-04,-4.27736E-02
-1.2342E-04,-4.01736E-02
-1.2340E-04,-3.77736E-02
-1.2338E-04,-3.49736E-02
-1.2336E-04,-3.19736E-02
-1.2334E-04,-2.93736E-02
-1.2332E-04,-2.61736E-02
-1.2330E-04,-2.23736E-02
-1.2328E-04,-1.85736E-02
-1.2326E-04,-1.53736E-02
-1.2324E-04,-1.13736E-02
-1.2322E-04,-7.77363E-03
-1.2320E-04,-4.17363E-03
-1.2318E-04,2.26369E-04
-1.2316E-04,4.02637E-03
-1.2314E-04,8.22637E-03
-1.2312E-04,1.18264E-02
-1.2310E-04,1.50264E-02
-1.2308E-04,1.86264E-02
-1.2306E-04,2.28264E-02
-1.2304E-04,2.56264E-02
-1.2302E-04,2.84264E-02
-1.2300E-04,3.16264E-02
-1.2298E-04,3.44264E-02
-1.2296E-04,3.70264E-02
-1.2294E-04,3.94264E-02
-1.2292E-04,4.12264E-02
-1.2290E-04,4.34264E-02
-1.2288E-04,4.48264E-02
-1.2286E-04,4.60264E-02
-1.2284E-04,4.66264E-02
-1.2282E-04,4.74264E-02
-1.2280E-04,4.80264E-02
-1.2278E-04,4.80264E-02
-1.2276E-04,4.80264E-02
-1.2274E-04,4.70264E-02
-1.2272E-04,4.64264E-02
-1.2270E-04,4.56264E-02
-1.2268E-04,4.34264E-02
-1.2266E-04,4.24264E-02
-1.2264E-04,4.06264E-02
-1.2262E-04,3.78264E-02
-1.2260E-04,3.54264E-02
-1.2258E-04,3.28264E-02
-1.2256E-04,3.02264E-02
-1.2254E-04,2.70264E-02
-1.2252E-04,2.36264E-02
-1.2250E-04,2.02264E-02
-1.2248E-04,1.68264E-02
-1.2246E-04,1.32264E-02
-1.2244E-04,9.02637E-03
-1.2242E-04,5.82637E-03
-1.2240E-04,1.62637E-03
-1.2238E-04,-2.37363E-03
-1.2236E-04,-5.57363E-03
-1.2234E-04,-9.97363E-03
-1.2232E-04,-1.35736E-02
-1.2230E-04,-1.73736E-02
-1.2228E-04,-2.07736E-02
-1.2226E-04,-2.45736E-02
-1.2224E-04,-2.77736E-02
-1.2222E-04,-3.15736E-02
-1.2220E-04,-3.41736E-02
-1.2218E-04,-3.63736E-02
-1.2216E-04,-3.89736E-02
-1.2214E-04,-4.15736E-02
-1.2212E-04,-4.39736E-02
-1.2210E-04,-4.53736E-02
-1.2208E-04,-4.71736E-02
-1.2206E-04,-4.83736E-02
-1.2204E-04,-4.93736E-02
-1.2202E-04,-4.99736E-02
-1.2200E-04,-5.01736E-02
-1.2198E-04,-5.01736E-02
-1.2196E-04,-5.01736E-02
-1.2194E-04,-4.95736E-02
-1.2192E-04,-4.91736E-02
-1.2190E-04,-4.75736E-02
-1.2188E-04,-4.61736E-02
-1.2186E-04,-4.45736E-02
-1.2184E-04,-4.21736E-02
-1.2182E-04,-4.01736E-02
-1.2180E-04,-3.81736E-02
-1.2178E-04,-3.53736E-02
-1.2176E-04,-3.25736E-02
-1.2174E-04,-2.95736E-02
-1.2172E-04,-2.61736E-02
-1.2170E-04,-2.23736E-02
-1.2168E-04,-1.85736E-02
