[Hz],FFT[dBm]
3.61938477E+06,-6.21654E+01
3.62548828E+06,-5.72054E+01
3.63159180E+06,-6.41854E+01
3.63769531E+06,-9.63854E+01
3.64379883E+06,-9.91654E+01
3.64990234E+06,-1.06985E+02
3.65600586E+06,-9.40054E+01
3.66210938E+06,-9.31654E+01
3.66821289E+06,-6.47654E+01
3.67431641E+06,-5.73054E+01
3.68041992E+06,-6.18854E+01
3.68652344E+06,-8.84454E+01
3.69262695E+06,-1.03885E+02
3.69873047E+06,-9.69854E+01
3.70483398E+06,-1.00725E+02
3.71093750E+06,-8.64854E+01
3.71704102E+06,-6.85654E+01
3.72314453E+06,-5.79654E+01
3.72924805E+06,-6.02454E+01
3.73535156E+06,-7.92654E+01
3.74145508E+06,-9.91654E+01
3.74755859E+06,-8.47654E+01
3.75366211E+06,-9.44254E+01
3.75976562E+06,-9.59254E+01
3.76586914E+06,-7.22454E+01
3.77197266E+06,-5.88854E+01
3.77807617E+06,-5.89254E+01
3.78417969E+06,-7.31654E+01
3.79028320E+06,-8.86854E+01
3.79638672E+06,-9.34054E+01
3.80249023E+06,-9.27054E+01
3.80859375E+06,-9.41454E+01
3.81469727E+06,-7.80854E+01
3.82080078E+06,-6.02254E+01
3.82690430E+06,-5.81054E+01
3.83300781E+06,-6.89654E+01
3.83911133E+06,-8.51254E+01
3.84521484E+06,-9.71854E+01
3.85131836E+06,-9.46654E+01
3.85742188E+06,-9.89654E+01
3.86352539E+06,-8.92854E+01
3.86962891E+06,-6.25054E+01
3.87573242E+06,-5.79054E+01
3.88183594E+06,-6.56654E+01
3.88793945E+06,-8.79254E+01
3.89404297E+06,-9.95054E+01
3.90014648E+06,-9.57654E+01
3.90625000E+06,-9.76854E+01
3.91235352E+06,-9.17054E+01
3.91845703E+06,-6.47654E+01
3.92456055E+06,-5.76654E+01
3.93066406E+06,-6.26854E+01
3.93676758E+06,-9.46254E+01
3.94287109E+06,-1.04925E+02
3.94897461E+06,-9.54054E+01
3.95507812E+06,-1.06125E+02
3.96118164E+06,-8.90254E+01
3.96728516E+06,-6.81054E+01
3.97338867E+06,-5.84654E+01
3.97949219E+06,-6.11854E+01
3.98559570E+06,-8.08654E+01
3.99169922E+06,-9.29254E+01
3.99780273E+06,-9.50254E+01
4.00390625E+06,-9.31854E+01
4.01000977E+06,-9.41454E+01
4.01611328E+06,-7.16654E+01
4.02221680E+06,-5.90454E+01
4.02832031E+06,-5.95854E+01
4.03442383E+06,-7.44054E+01
4.04052734E+06,-9.00054E+01
4.04663086E+06,-9.75654E+01
4.05273438E+06,-9.56654E+01
4.05883789E+06,-9.24254E+01
4.06494141E+06,-7.78054E+01
4.07104492E+06,-6.08054E+01
4.07714844E+06,-5.91054E+01
4.08325195E+06,-7.01254E+01
4.08935547E+06,-9.05254E+01
4.09545898E+06,-9.74654E+01
4.10156250E+06,-9.72654E+01
4.10766602E+06,-1.03545E+02
4.11376953E+06,-8.81254E+01
4.11987305E+06,-6.22054E+01
4.12597656E+06,-5.81454E+01
4.13208008E+06,-6.62654E+01
4.13818359E+06,-9.37054E+01
4.14428711E+06,-1.01525E+02
4.15039062E+06,-9.77654E+01
4.15649414E+06,-9.47454E+01
4.16259766E+06,-9.17054E+01
4.16870117E+06,-6.54054E+01
4.17480469E+06,-5.88054E+01
4.18090820E+06,-6.44654E+01
4.18701172E+06,-1.02685E+02
4.19311523E+06,-9.60254E+01
4.19921875E+06,-1.01905E+02
4.20532227E+06,-9.37254E+01
4.21142578E+06,-9.40854E+01
4.21752930E+06,-6.77854E+01
4.22363281E+06,-5.85454E+01
4.22973633E+06,-6.16654E+01
4.23583984E+06,-8.15054E+01
4.24194336E+06,-1.01205E+02
4.24804688E+06,-9.96454E+01
4.25415039E+06,-9.16654E+01
4.26025391E+06,-9.46254E+01
4.26635742E+06,-7.20854E+01
4.27246094E+06,-6.01254E+01
4.27856445E+06,-6.10654E+01
4.28466797E+06,-7.64254E+01
4.29077148E+06,-9.31854E+01
4.29687500E+06,-9.29654E+01
4.30297852E+06,-9.68254E+01
4.30908203E+06,-9.08454E+01
4.31518555E+06,-7.72254E+01
4.32128906E+06,-6.05254E+01
4.32739258E+06,-5.92654E+01
4.33349609E+06,-7.11854E+01
4.33959961E+06,-8.84054E+01
4.34570312E+06,-1.03625E+02
4.35180664E+06,-9.01854E+01
4.35791016E+06,-9.94254E+01
4.36401367E+06,-8.63054E+01
4.37011719E+06,-6.31854E+01
4.37622070E+06,-5.97054E+01
4.38232422E+06,-6.86854E+01
4.38842773E+06,-8.82854E+01
4.39453125E+06,-1.09325E+02
4.40063477E+06,-1.02125E+02
4.40673828E+06,-9.84854E+01
4.41284180E+06,-8.98654E+01
4.41894531E+06,-6.40854E+01
4.42504883E+06,-5.83854E+01
4.43115234E+06,-6.44654E+01
4.43725586E+06,-1.03305E+02
4.44335938E+06,-9.68054E+01
4.44946289E+06,-9.79654E+01
4.45556641E+06,-9.53054E+01
4.46166992E+06,-9.24854E+01
4.46777344E+06,-6.87254E+01
4.47387695E+06,-5.99654E+01
4.47998047E+06,-6.36654E+01
4.48608398E+06,-8.81854E+01
4.49218750E+06,-9.43854E+01
4.49829102E+06,-1.03765E+02
4.50439453E+06,-9.41854E+01
4.51049805E+06,-9.14854E+01
4.51660156E+06,-7.13054E+01
4.52270508E+06,-5.94254E+01
4.52880859E+06,-6.08054E+01
4.53491211E+06,-7.79654E+01
4.54101562E+06,-9.10054E+01
4.54711914E+06,-9.79254E+01
4.55322266E+06,-9.93854E+01
4.55932617E+06,-9.31854E+01
4.56542969E+06,-7.75054E+01
4.57153320E+06,-6.19054E+01
4.57763672E+06,-6.10454E+01
4.58374023E+06,-7.38854E+01
4.58984375E+06,-8.69654E+01
4.59594727E+06,-9.33054E+01
4.60205078E+06,-9.63454E+01
4.60815430E+06,-9.19854E+01
4.61425781E+06,-8.53854E+01
4.62036133E+06,-6.25654E+01
4.62646484E+06,-5.92454E+01
4.63256836E+06,-6.85654E+01
4.63867188E+06,-8.90454E+01
4.64477539E+06,-1.04525E+02
4.65087891E+06,-1.01285E+02
4.65698242E+06,-9.52854E+01
4.66308594E+06,-9.55254E+01
4.66918945E+06,-6.54854E+01
4.67529297E+06,-6.01854E+01
4.68139648E+06,-6.71054E+01
4.68750000E+06,-9.14054E+01
4.69360352E+06,-1.00445E+02
4.69970703E+06,-1.07685E+02
4.70581055E+06,-9.64454E+01
4.71191406E+06,-9.12854E+01
4.71801758E+06,-6.73654E+01
